hsa00010  Glycolysis / Gluconeogenesis
hsa00020  Citrate cycle (TCA cycle)
hsa00030  Pentose phosphate pathway
hsa00040  Pentose and glucuronate interconversions
hsa00051  Fructose and mannose metabolism
hsa00052  Galactose metabolism
hsa00053  Ascorbate and aldarate metabolism
hsa00500  Starch and sucrose metabolism
hsa00620  Pyruvate metabolism
hsa00630  Glyoxylate and dicarboxylate metabolism
hsa00640  Propanoate metabolism
hsa00650  Butanoate metabolism
hsa00562  Inositol phosphate metabolism
hsa00190  Oxidative phosphorylation
hsa00910  Nitrogen metabolism
hsa00920  Sulfur metabolism
hsa00061  Fatty acid biosynthesis
hsa00062  Fatty acid elongation
hsa00071  Fatty acid degradation
hsa00100  Steroid biosynthesis
hsa00120  Primary bile acid biosynthesis
hsa00140  Steroid hormone biosynthesis
hsa00561  Glycerolipid metabolism
hsa00564  Glycerophospholipid metabolism
hsa00565  Ether lipid metabolism
hsa00600  Sphingolipid metabolism
hsa00590  Arachidonic acid metabolism
hsa00591  Linoleic acid metabolism
hsa00592  alpha-Linolenic acid metabolism
hsa01040  Biosynthesis of unsaturated fatty acids
hsa00230  Purine metabolism
hsa00240  Pyrimidine metabolism
hsa00250  Alanine, aspartate and glutamate metabolism
hsa00260  Glycine, serine and threonine metabolism
hsa00270  Cysteine and methionine metabolism
hsa00280  Valine, leucine and isoleucine degradation
hsa00290  Valine, leucine and isoleucine biosynthesis
hsa00310  Lysine degradation
hsa00220  Arginine biosynthesis
hsa00330  Arginine and proline metabolism
hsa00340  Histidine metabolism
hsa00350  Tyrosine metabolism
hsa00360  Phenylalanine metabolism
hsa00380  Tryptophan metabolism
hsa00400  Phenylalanine, tyrosine and tryptophan biosynthesis
hsa00410  beta-Alanine metabolism
hsa00430  Taurine and hypotaurine metabolism
hsa00440  Phosphonate and phosphinate metabolism
hsa00450  Selenocompound metabolism
hsa00470  D-Amino acid metabolism
hsa00480  Glutathione metabolism
hsa00520  Amino sugar and nucleotide sugar metabolism
hsa00541  Biosynthesis of various nucleotide sugars
hsa00510  N-Glycan biosynthesis
hsa00513  Various types of N-glycan biosynthesis
hsa00512  Mucin type O-glycan biosynthesis
hsa00515  Mannose type O-glycan biosynthesis
hsa00514  Other types of O-glycan biosynthesis
hsa00532  Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
hsa00534  Glycosaminoglycan biosynthesis - heparan sulfate / heparin
hsa00533  Glycosaminoglycan biosynthesis - keratan sulfate
hsa00531  Glycosaminoglycan degradation
hsa00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
hsa00601  Glycosphingolipid biosynthesis - lacto and neolacto series
hsa00603  Glycosphingolipid biosynthesis - globo and isoglobo series
hsa00604  Glycosphingolipid biosynthesis - ganglio series
hsa00511  Other glycan degradation
hsa00730  Thiamine metabolism
hsa00740  Riboflavin metabolism
hsa00750  Vitamin B6 metabolism
hsa00760  Nicotinate and nicotinamide metabolism
hsa00770  Pantothenate and CoA biosynthesis
hsa00780  Biotin metabolism
hsa00785  Lipoic acid metabolism
hsa00790  Folate biosynthesis
hsa00670  One carbon pool by folate
hsa00830  Retinol metabolism
hsa00860  Porphyrin metabolism
hsa00130  Ubiquinone and other terpenoid-quinone biosynthesis
hsa00900  Terpenoid backbone biosynthesis
hsa00232  Caffeine metabolism
hsa00524  Neomycin, kanamycin and gentamicin biosynthesis
hsa00980  Metabolism of xenobiotics by cytochrome P450
hsa00982  Drug metabolism - cytochrome P450
hsa00983  Drug metabolism - other enzymes
hsa01200  Carbon metabolism
hsa01210  2-Oxocarboxylic acid metabolism
hsa01212  Fatty acid metabolism
hsa01230  Biosynthesis of amino acids
hsa01232  Nucleotide metabolism
hsa01250  Biosynthesis of nucleotide sugars
hsa01240  Biosynthesis of cofactors
hsa01320  Sulfur cycle
hsa01100  Metabolic pathways
