,minimum,maximum
MAR30811,0.0,999.9999999999998
MAR30812,0.0,1000.0
MAR30813,0.0,0.0
MAR32604,0.0,500.0
MAR32605,0.0,1000.0
MAR32607,0.0,500.0
MAR32608,0.0,1000.0
MAR32609,0.0,1000.0
MAR32833,0.0,1000.0
MAR32834,0.0,0.0
MAR32835,0.0,1000.0
MAR32891,0.0,1000.0
MAR32892,0.0,0.0
MAR32897,0.0,1000.0
MAR32898,0.0,500.00000000000097
MAR32900,0.0,500.0
MAR32901,0.0,0.0
MAR32902,0.0,0.0
MAR32975,0.0,0.0
MAR33069,0.0,0.0
MAR33071,0.0,1000.0
MAR33072,0.0,1000.0
MAR33288,0.0,1000.0
MAR33290,0.0,0.0
MAR33291,0.0,1000.0
MAR33293,0.0,0.0
MAR33294,0.0,1000.0
MAR33296,0.0,500.0
MAR33338,0.0,500.000000000002
MAR33339,0.0,499.99999999999994
MAR33340,0.0,1000.0
MAR33341,0.0,0.0
MAR33342,0.0,1000.0
MAR33343,0.0,1000.0
MAR33354,0.0,0.0
MAR33355,0.0,14.192876565183461
MAR33356,0.0,14.192876565183491
MAR33357,0.0,0.0
MAR33375,0.0,0.0
MAR33376,0.0,1000.0
MAR33377,0.0,0.0
MAR33379,0.0,1000.0
MAR34565,0.0,1000.0
MAR34566,0.0,0.0
MAR34567,0.0,0.0
MAR34568,0.0,500.00000000000006
MAR34976,0.0,0.0
MAR34977,0.0,500.00000000000006
MAR34989,0.0,999.9999999999999
MAR35547,0.0,0.0
MAR35548,0.0,0.0
MAR35549,0.0,0.0
MAR35550,0.0,500.0
MAR35553,0.0,0.0
MAR35557,0.0,0.0
MAR35559,0.0,0.0
MAR35560,0.0,0.0
MAR35561,0.0,0.0
MAR35562,0.0,0.0
MAR35563,0.0,500.0
MAR35566,0.0,0.0
MAR35570,0.0,0.0
MAR35572,0.0,0.0
MAR35573,0.0,0.0
MAR35574,0.0,0.0
MAR35575,0.0,0.0
MAR35576,0.0,500.0
MAR35579,0.0,0.0
MAR35583,0.0,0.0
MAR35585,0.0,0.0
MAR35586,0.0,0.0
MAR35587,0.0,0.0
MAR35588,0.0,0.0
MAR35589,0.0,500.0
MAR35592,0.0,0.0
MAR35596,0.0,0.0
MAR35598,0.0,0.0
MAR35599,0.0,0.0
MAR35600,0.0,0.0
MAR35601,0.0,0.0
MAR35602,0.0,500.0
MAR35605,0.0,0.0
MAR35609,0.0,0.0
MAR35611,0.0,0.0
MAR35612,0.0,0.0
MAR35613,0.0,0.0
MAR35614,0.0,0.0
MAR35615,0.0,500.0
MAR35618,0.0,0.0
MAR35622,0.0,0.0
MAR35624,0.0,0.0
MAR35625,0.0,0.0
MAR35626,0.0,0.0
MAR35627,0.0,0.0
MAR35628,0.0,500.0
MAR35631,0.0,0.0
MAR35635,0.0,0.0
MAR35637,0.0,0.0
MAR35638,0.0,0.0
MAR35639,0.0,0.0
MAR35640,0.0,0.0
MAR35641,0.0,500.0
MAR35644,0.0,0.0
MAR35648,0.0,0.0
MAR35650,0.0,0.0
MAR35651,0.0,0.0
MAR35652,0.0,0.0
MAR35653,0.0,0.0
MAR35654,0.0,500.0
MAR35657,0.0,0.0
MAR35661,0.0,0.0
MAR35663,0.0,0.0
MAR35664,0.0,0.0
MAR35665,0.0,0.0
MAR35666,0.0,0.0
MAR35667,0.0,500.0
MAR35670,0.0,0.0
MAR35674,0.0,0.0
MAR35676,0.0,0.0
MAR35677,0.0,0.0
MAR35678,0.0,0.0
MAR35679,0.0,0.0
MAR35680,0.0,500.0
MAR35683,0.0,0.0
MAR35687,0.0,0.0
MAR35689,0.0,0.0
MAR35690,0.0,0.0
MAR35691,0.0,0.0
MAR35692,0.0,0.0
MAR35693,0.0,500.0
MAR35696,0.0,0.0
MAR35700,0.0,0.0
MAR35702,0.0,0.0
MAR35703,0.0,0.0
MAR35704,0.0,0.0
MAR35705,0.0,0.0
MAR35706,0.0,500.0
MAR35709,0.0,0.0
MAR35713,0.0,0.0
MAR35715,0.0,0.0
MAR35716,0.0,0.0
MAR35717,0.0,0.0
MAR35718,0.0,0.0
MAR35719,0.0,500.0
MAR35722,0.0,0.0
MAR35726,0.0,0.0
MAR35728,0.0,0.0
MAR35729,0.0,0.0
MAR35730,0.0,0.0
MAR35731,0.0,0.0
MAR35732,0.0,500.0
MAR35735,0.0,0.0
MAR35739,0.0,0.0
MAR35741,0.0,0.0
MAR35742,0.0,0.0
MAR35743,0.0,499.9999999999999
MAR35744,0.0,0.0
MAR35745,0.0,499.99999999999994
MAR35748,0.0,0.0
MAR35752,0.0,0.0
MAR35754,0.0,0.0
MAR35755,0.0,0.0
MAR35756,0.0,499.9999999999999
MAR35757,0.0,0.0
MAR35758,0.0,499.99999999999994
MAR35761,0.0,0.0
MAR35765,0.0,0.0
MAR35767,0.0,0.0
MAR35768,0.0,0.0
MAR35769,0.0,499.9999999999999
MAR35770,0.0,0.0
MAR35771,0.0,499.99999999999994
MAR35774,0.0,0.0
MAR35778,0.0,0.0
MAR35780,0.0,0.0
MAR35781,0.0,0.0
MAR35782,0.0,499.9999999999999
MAR35783,0.0,0.0
MAR35784,0.0,499.99999999999994
MAR35787,0.0,0.0
MAR35791,0.0,0.0
MAR35793,0.0,0.0
MAR35794,0.0,0.0
MAR35795,0.0,499.9999999999999
MAR35796,0.0,0.0
