,minimum,maximum
MAR00659,-1000.0,1000.0
MAR07108,-666.6666666666666,0.0
MAR07110,-1000.0,0.0
MAR07112,-1000.0,0.0
MAR07114,-500.0,0.0
MAR07116,-666.6666666666666,0.0
MAR07118,-500.0,0.0
MAR07120,-1000.0,0.0
MAR07122,-1000.0,0.0
MAR07124,-333.3333333333333,0.0
MAR07126,-166.66666666666666,0.0
MAR09023,-1000.0,0.0
MAR09024,-0.02589231386662869,0.0
MAR09032,-1000.0,0.0
MAR09808,-1000.0,1000.0
MAR09809,-1000.0,1000.0
MAR09810,-1000.0,125.0
MAR09811,-1000.0,1000.0
MAR09812,-1000.0,125.0
MAR09813,-1000.0,1000.0
MAR09814,-1000.0,1000.0
MAR09815,-1000.0,1000.0
MAR09816,-1000.0,1000.0
MAR09033,-1000.0,0.0
MAR09034,-1000.0,1000.0
MAR09035,-1000.0,1000.0
MAR09036,-1000.0,34.89857271606557
MAR09037,-1000.0,1000.0
MAR09038,-1000.0,1000.0
MAR09039,-1000.0,1000.0
MAR09040,-1000.0,1000.0
MAR09041,-1000.0,1000.0
MAR09042,-1000.0,1000.0
MAR09043,-1000.0,1000.0
MAR09044,-1000.0,1000.0
MAR09045,-1000.0,1000.0
MAR09046,-1000.0,1000.0
MAR09047,-1000.0,1000.0
MAR09048,-1000.0,1000.0
MAR09049,-0.2888781896966779,0.09629272989889263
MAR09050,-16.607708712534418,18.75
MAR09051,-1.9801980198019802,0.43859649122807015
MAR09052,-0.4100041000410004,0.02589231386662869
MAR09053,-0.2953337271116362,0.2888781896966779
MAR09054,-3.7593984962406015,18.75
MAR09055,-0.4385964912280702,1.9801980198019802
MAR09056,0.0,1000.0
MAR09058,-1000.0,1000.0
MAR09061,-1000.0,1000.0
MAR09062,-1000.0,1000.0
MAR09063,-1000.0,1000.0
MAR09064,-1000.0,1000.0
MAR09065,-1000.0,1000.0
MAR09066,-1000.0,1000.0
MAR09067,-1000.0,1000.0
MAR09068,-1000.0,1000.0
MAR09069,-1000.0,1000.0
MAR09070,-1000.0,1000.0
MAR09071,-1000.0,1000.0
MAR09072,-1000.0,1000.0
MAR09073,-1000.0,1000.0
MAR09074,-1000.0,1000.0
MAR09075,-1000.0,1000.0
MAR09076,-1000.0,1000.0
MAR09077,-1000.0,1000.0
MAR09078,-1000.0,1000.0
MAR09079,-1000.0,1000.0
MAR09080,0.0,0.0
MAR09081,-1000.0,0.0
MAR09082,0.0,0.0
MAR09083,-1000.0,1000.0
MAR09084,-1000.0,1000.0
MAR09085,-1000.0,1000.0
MAR09086,-1000.0,1000.0
MAR09087,-1000.0,1000.0
MAR09088,-1000.0,1000.0
MAR09089,0.0,1000.0
MAR09090,0.0,1000.0
MAR09091,-1000.0,1000.0
MAR09092,-1000.0,1000.0
MAR09093,-1000.0,1000.0
MAR09094,-1000.0,1000.0
MAR09095,-1000.0,1000.0
MAR09096,-1000.0,1000.0
MAR09097,-1000.0,0.0
MAR09098,-1000.0,1000.0
MAR09099,-1000.0,0.0
MAR09100,-1000.0,0.0
MAR09101,-1000.0,1000.0
MAR09102,-1000.0,1000.0
MAR09103,-1000.0,1000.0
MAR09104,0.0,1000.0
MAR09105,-1000.0,999.9984487119438
MAR09106,0.0,999.9984487119438
MAR09107,-1000.0,999.9984487119438
MAR09108,-1000.0,1000.0
MAR09109,-1000.0,1000.0
MAR09110,-1000.0,0.0
MAR09111,-83.33333333333333,166.66125
MAR09113,-1000.0,71.42625000000001
MAR09114,0.0,1000.0
MAR09115,-1000.0,199.9935
MAR09116,-833.3333333333333,181.81227272727276
MAR09117,-333.3333333333333,333.32250000000005
MAR09118,-250.0,333.32250000000005
MAR09119,-333.3333333333333,333.32250000000005
MAR09120,-200.0,333.32250000000005
MAR09121,-166.66666666666666,333.3225
MAR09122,-1000.0,1000.0
MAR09123,-1000.0,1000.0
MAR09124,-222.22221555555552,1000.0
MAR09125,-1000.0,208.33332733333373
MAR09126,-222.22221555555555,222.22221555555552
MAR09127,0.0,1000.0
MAR09128,0.0,1000.0
MAR09129,0.0,1000.0
MAR09130,-4.219409282700424,6.274106923554811
MAR09131,-1000.0,1000.0
MAR09132,-1000.0,1000.0
MAR09133,-1000.0,1000.0
MAR09134,-1000.0,1000.0
MAR09135,-1000.0,1000.0
MAR09136,-1000.0,1000.0
MAR09137,-1000.0,1000.0
MAR09138,-1000.0,1000.0
MAR09139,-1000.0,1000.0
MAR09140,-1000.0,1000.0
MAR09141,-1000.0,1000.0
MAR09142,-1000.0,1000.0
MAR09143,-1000.0,1000.0
MAR09144,-1000.0,1000.0
MAR09145,-1000.0,1000.0
MAR09146,-1000.0,1000.0
MAR09147,-1000.0,1000.0
MAR09148,-1000.0,1000.0
MAR09149,-1000.0,1000.0
MAR09150,-1000.0,1000.0
MAR09151,-0.007756440281030444,0.0
MAR09152,-0.007756440281030444,0.0
MAR09153,-0.007756440281030444,0.0
MAR09154,-0.007756440281030444,0.0
MAR09155,-1000.0,1000.0
MAR09156,-1000.0000000000001,0.0
MAR09157,0.0,0.0
MAR09158,-1000.0,1000.0
MAR09159,-1000.0,999.9984487119438
MAR09160,-1000.0,1000.0
MAR09161,-1000.0,0.0
MAR09162,0.0,0.0
MAR09163,-1000.0,1000.0
MAR09164,0.0,0.0
MAR09165,0.0,1000.0
MAR09166,-1000.0,0.0
MAR09167,-0.007756440281030444,-0.0015512880562482678
MAR09168,-1000.0,0.0
MAR09169,-1000.0,0.0
MAR09171,-1000.0,1000.0
MAR09172,-1000.0,1000.0
MAR09201,-1000.0,1000.0
MAR09202,0.0,0.0
MAR09203,-1000.0,1000.0
MAR09204,-333.3333133333333,0.0
MAR09205,-1000.0,1000.0
MAR09206,-1000.0,1000.0
MAR09207,-1000.0,1000.0
MAR09208,-1000.0,0.0
MAR09209,0.0,1000.0
MAR09210,0.0,1000.0
MAR09211,0.0,1000.0
MAR09212,0.0,1000.0
MAR09213,0.0,1000.0
MAR09214,-1000.0,1000.0
MAR09215,-1000.0,1000.0
MAR09216,-1000.0,1000.0
MAR09217,0.0,1000.0
MAR09218,-1000.0,1000.0
MAR09219,-1000.0,1000.0
MAR09220,0.0,1000.0
MAR09221,0.0,1000.0
MAR09222,0.0,1000.0
MAR09223,0.0,1000.0
MAR09224,0.0,1000.0
MAR09225,0.0,1000.0
MAR09226,0.0,1000.0
MAR09227,0.0,1000.0
MAR09228,0.0,1000.0
MAR09229,-1000.0,1000.0
MAR09230,0.0,1000.0
MAR09231,-1000.0,1000.0
MAR09232,-1000.0,1000.0
MAR09233,0.0,1000.0
MAR09234,-1000.0,1000.0
MAR09235,-1000.0,1000.0
MAR09236,-1000.0,1000.0
MAR09237,0.0,1000.0
MAR09238,-1000.0,1000.0
MAR09239,-1000.0,0.0
MAR09240,-1000.0,0.0
MAR09241,0.0,1000.0
MAR09242,-1000.0,1000.0
MAR09243,-1000.0,1000.0
MAR09244,0.0,555.5555522222222
MAR09245,0.0,553.3342306573713
MAR09246,-1000.0,1000.0
MAR09247,-1000.0,1000.0
MAR09248,0.0,500.0
MAR09249,0.0,500.0
MAR09250,0.0,1000.0
MAR09251,0.0,1000.0
MAR09252,0.0,999.9200347775175
MAR09253,-1000.0,1000.0
MAR09254,-1000.0,1000.0
MAR09255,-1000.0,1000.0
MAR09256,0.0,1000.0
MAR09257,0.0,1000.0
MAR09258,-1000.0,1000.0
MAR09259,-1000.0,1000.0
MAR09260,-1000.0,1000.0
MAR09261,0.0,1000.0
MAR09262,-1000.0,1000.0
MAR09263,-1000.0,1000.0
MAR09264,0.0,1000.0
MAR09265,-1000.0,0.0
MAR09266,0.0,1000.0
MAR09267,-1000.0,0.0
MAR09268,-1000.0,1000.0
MAR09269,-1000.0,0.0
MAR09270,-1000.0,0.0
MAR09271,-1000.0,1000.0
MAR09272,-1000.0,1000.0
MAR09273,-1000.0,1000.0
MAR09275,0.0,1000.0
MAR09276,-1000.0,0.0
